RAdeg,DEdeg
45.172,-0.463
45.185,-0.639
45.287,-0.631
45.306,-0.606
45.325,-0.645
45.353,-0.575
45.367,-0.574
45.24,-0.554
45.226,-0.535
45.208,-0.535
45.354,-0.603
45.23,-0.525
45.234,-0.515
45.236,-0.512
45.229,-0.481
45.255,-0.461
45.245,-0.439
45.389,-0.658
45.392,-0.637
45.252,-0.596
45.37,-0.624
45.295,-0.589
45.258,-0.474
45.221,-0.373
45.235,-0.729
45.19,-0.434
45.394,-0.74
45.31,-0.585
45.268,-0.745
45.437,-0.735
45.328,-0.679
45.262,-0.584
45.115,-0.388
45.425,-0.693
45.311,-0.47
45.109,-0.637
45.046,-0.628
45.147,-0.717
45.232,-0.368
45.378,-0.76
45.192,-0.693
45.407,-0.651
45.16,-0.348
45.106,-0.622
45.227,-0.568
45.31,-0.493
45.379,-0.664
45.221,-0.37
45.191,-0.685
40.489,0.164
40.421,0.446
40.412,0.46
40.444,0.435
40.292,0.385
40.907,1.485
40.842,1.481
40.915,1.353
40.666,1.382
41.014,1.223
41.025,1.127
40.889,1.36
40.89,1.373
40.919,1.376
40.909,1.403
23.641,0.19
23.577,0.011
23.639,0.202
23.553,0.063
23.571,0.189
23.567,0.254
23.589,0.256
23.535,0.336
23.58,0.14
23.542,0.177
23.595,0.137
27.309,-0.736
27.366,-0.708
27.426,-1.043
27.452,-0.962
27.405,-0.881
9.892,0.858
9.881,1.042
9.837,0.859
9.851,0.935
9.858,0.792
9.901,0.825
9.921,0.908
9.871,0.95
9.839,0.851
9.843,0.998
9.837,0.74
9.907,0.853
9.917,0.712
9.821,1.024
9.96,0.736
9.805,0.862
9.806,0.864
9.842,0.871
9.812,0.88
9.808,0.899
9.824,0.901
343.704,1.155
343.807,1.055
343.65,1.061
343.731,1.063
343.639,1.007
343.825,1.198
343.721,0.776
343.735,0.809
343.847,0.829
343.795,0.954
343.773,1.179
343.541,0.941
343.763,1.193
343.807,0.835
343.836,0.775
343.806,0.975
343.775,0.998
343.76,1.022
343.779,1.003
352.856,0.366
19.757,-0.995
19.692,-0.964
19.647,-0.961
19.767,-1.088
19.794,-1.055
19.604,-1.034
19.782,-1.006
19.729,-1.098
19.762,-0.943
19.764,-1.112
19.782,-1.111
19.661,-0.948
19.73,-0.942
19.724,-1.087
19.695,-0.896
19.567,-1.002
19.707,-1.179
19.739,-1.078
19.74,-1.173
19.55,-1.078
19.616,-0.877
19.706,-1.175
19.744,-1.278
19.728,-1.266
19.713,-1.071
19.547,-0.966
19.807,-1.212
19.668,-0.875
19.672,-0.868
19.577,-0.945
19.829,-1.202
19.779,-1.242
19.503,-1.047
19.803,-1.151
19.725,-1.048
19.711,-1.037
19.699,-1.021
19.653,-1.012
19.723,-1.002
21.42,-1.161
21.411,-1.367
21.468,-1.369
21.599,-1.306
21.638,-1.205
21.392,-1.096
21.486,-1.235
21.672,-1.422
21.679,-1.387
21.543,-1.435
21.426,-1.369
21.413,-1.357
21.525,-1.354
21.433,-1.347
21.485,-1.421
21.502,-1.338
21.417,-1.329
21.452,-1.321
21.477,-1.319
21.434,-1.291
21.492,-1.287
21.492,-1.288
21.512,-1.45
21.478,-1.421
21.486,-1.436
21.469,-1.407
21.449,-1.345
21.546,-1.419
21.465,-1.318
21.418,-1.317
21.526,-1.295
21.456,-1.403
21.489,-1.289
21.463,-1.289
21.454,-1.27
21.415,-1.218
21.479,-1.403
21.435,-1.456
21.599,-1.292
21.676,-1.236
21.477,-1.395
21.481,-1.188
21.602,-1.371
21.603,-1.404
21.648,-1.396
21.606,-1.35
21.42,-1.387
21.617,-1.303
21.474,-1.165
21.446,-1.384
21.542,-1.395
21.672,-1.373
21.531,-1.364
21.707,-1.41
21.606,-1.2
40.751,-0.066
40.553,-0.06
40.685,-0.058
40.545,-0.027
40.7,-0.145
40.711,-0.125
40.69,-0.121
40.709,-0.099
40.711,-0.097
40.554,-0.08
40.746,-0.073
40.732,-0.142
40.76,-0.118
40.487,-0.092
40.519,0.03
40.678,-0.058
40.459,-0.076
40.614,0.146
40.662,-0.193
40.487,0.017
40.581,0.087
40.586,0.117
40.531,0.011
40.586,0.146
40.579,0.182
40.725,-0.165
40.596,0.124
40.467,-0.027
40.731,-0.222
40.597,0.084
40.68,0.221
40.717,-0.103
40.491,-0.053
40.692,0.181
40.558,-0.118
40.718,-0.154
40.58,0.198
40.489,-0.114
40.43,-0.066
40.666,-0.093
40.676,-0.077
40.729,-0.076
40.751,-0.066
354.574,0.311
354.199,0.295
354.177,0.282
354.128,0.296
354.223,0.346
354.187,0.297
354.359,0.382
354.313,0.376
354.439,0.403
354.383,0.433
354.413,0.449
354.548,0.346
28.288,0.969
28.075,0.983
28.145,0.873
28.324,0.892
28.31,0.892
28.2,0.924
28.308,0.865
28.175,0.817
28.384,0.917
28.196,0.926
28.357,1.001
28.44,0.922
28.288,0.88
28.305,0.885
28.127,0.951
29.99,0.553
29.614,0.584
29.909,0.444
29.999,0.539
29.922,0.484
30.007,0.514
29.906,0.475
29.772,0.602
29.774,0.632
29.952,0.506
29.909,0.527
322.32,0.027
322.298,-0.078
322.436,-0.02
322.38,-0.115
322.268,0.023
322.488,0.036
322.688,-0.048
322.45,-0.044
322.483,-0.029
322.537,-0.074
51.734,-0.898
51.763,-0.883
51.668,-0.451
51.746,-0.67
51.697,-0.666
51.826,-0.683
43.302,-1.329
43.091,-1.298
43.102,-1.392
43.348,-1.279
43.271,-1.326
43.101,-1.213
43.078,-1.296
43.399,-1.291
43.276,-1.445
43.371,-1.282
43.097,-1.179
43.147,-1.411
43.344,-1.252
43.092,-1.203
43.058,-1.171
43.075,-1.188
43.183,-1.403
43.318,-1.347
43.008,-1.168
43.245,-1.339
43.26,-1.305
43.328,-1.299
43.286,-1.25
43.173,-1.39
43.329,-1.381
43.302,-1.352
36.546,0.584
36.675,0.47
36.733,0.545
36.736,0.397
36.859,0.808
36.91,0.792
36.905,0.8
36.776,0.659
36.876,0.793
36.884,0.798
36.843,0.611
36.848,0.715
37.404,0.63
37.373,0.578
37.378,0.612
37.647,0.651
37.657,0.663
37.564,0.6
37.544,0.766
37.726,0.752
37.739,0.796
37.875,0.603
37.872,0.876
36.87,0.44
37.057,0.525
37.003,0.453
37.027,0.457
36.993,0.463
36.925,0.472
36.928,0.423
37.306,0.575
37.158,0.371
37.18,0.413
37.297,0.413
37.157,0.503
37.171,0.514
37.518,0.617
37.319,0.45
37.756,0.401
37.73,0.521
37.742,0.394
37.72,0.395
37.798,0.675
37.838,0.591
37.906,0.618
38.017,0.552
38.017,0.55
38.103,0.643
37.97,0.597
37.944,0.461
37.283,0.632
37.161,0.556
37.334,0.783
37.057,0.582
37.109,0.658
37.231,0.695
37.286,0.652
37.106,0.662
37.042,0.753
18.64,0.288
18.852,0.403
18.835,0.445
18.708,0.329
18.805,0.337
18.726,0.304
18.865,0.42
18.815,0.41
18.907,0.341
18.866,0.152
18.805,0.199
18.839,0.201
18.804,0.201
18.7,0.228
18.872,0.253
18.732,0.172
18.748,0.259
18.88,0.268
18.878,0.298
18.816,0.214
18.933,0.337
18.758,0.226
18.686,0.26
18.762,0.23
18.937,0.233
18.873,0.169
19.019,0.365
18.765,0.245
19.003,0.362
18.842,0.255
18.824,0.288
40.438,0.508
40.737,-0.266
40.713,-0.187
40.685,-0.109
36.6,1.132
36.653,1.095
1.644,-0.026
1.599,-0.025
1.397,0.006
1.456,-0.256
1.474,-0.117
1.638,-0.13
1.617,-0.122
1.502,-0.287
1.649,-0.123
1.468,-0.115
1.307,0.107
1.392,0.128
1.624,-0.01
1.628,0.096
1.445,-0.099
1.493,-0.086
1.49,-0.213
1.412,-0.123
1.394,-0.101
1.643,-0.085
1.371,-0.053
14.021,0.752
14.164,0.355
14.12,0.579
14.076,0.614
14.023,0.564
14.027,0.567
14.009,0.578
352.668,0.398
352.706,0.36
352.669,0.366
352.995,0.33
353.015,0.335
353.007,0.171
353.028,0.239
352.875,0.276
352.981,0.309
352.918,0.359
352.98,0.369
352.944,0.344
352.992,0.4
352.961,0.389
352.884,0.16
352.984,0.453
352.947,0.461
353.044,0.272
352.8,0.308
352.8,0.263
352.995,0.323
352.922,0.175
352.977,0.356
352.997,0.381
353.061,0.155
352.901,0.371
352.918,0.426
353.075,0.162
353.37,0.15
353.511,0.177
353.445,0.179
353.444,0.254
353.484,0.148
353.511,0.165
351.735,0.331
351.645,0.364
351.609,0.156
351.626,0.163
351.676,0.33
353.48,0.079
353.405,0.063
353.316,-0.081
353.371,-0.052
352.866,0.294
353.014,0.135
353.072,0.278
353.072,0.277
352.952,0.315
352.999,0.149
352.885,0.141
352.918,0.243
352.956,0.122
351.795,0.284
351.736,0.314
351.895,0.376
351.86,0.386
352.043,0.224
352.006,0.285
351.717,-0.01
351.828,0.006
351.637,-0.057
353.233,0.034
353.036,0.063
353.088,-0.01
353.118,0.009
353.103,0.014
353.127,0.027
351.923,0.285
352.258,0.314
352.109,0.358
352.083,0.239
352.1,0.26
352.073,0.33
352.081,0.341
352.085,0.377
352.073,0.202
351.78,0.065
351.989,-0.01
351.989,0.069
351.917,-0.029
351.404,-0.021
351.245,-0.048
351.487,-0.083
351.55,0.056
351.437,0.057
351.392,0.073
352.201,0.199
352.37,-0.015
352.19,0.084
352.223,0.183
352.183,0.118
352.374,0.046
352.825,0.154
352.832,0.227
352.964,0.009
352.73,0.154
352.812,0.192
352.766,0.039
352.752,0.1
351.587,0.252
